région,séquences,téléchargements_à_GISAID,proportion,date
Nouvelle-Écosse,1268,1181,0.931388013,2021-06-04
Ontario,24882,18757,0.753838116,2021-06-04
île du Prince-Édouard,114,0,0,2021-06-04
Québec,25896,6879,0.265639481,2021-06-04
Saskatchewan,7198,0,0,2021-06-04
Canada,117661,44151,0.375239034,2021-06-04
Alberta,19792,11760,0.594179466,2021-06-11
Colombie-Britannique,35797,15727,0.439338492,2021-06-11
Manitoba,2396,1690,0.705342237,2021-06-11
Nouveau-Brunswick,929,476,0.512378902,2021-06-11
Terre_Neuve-et-Labrador,450,353,0.784444444,2021-06-11
Nouvelle-Écosse,1268,1181,0.931388013,2021-06-11
Ontario,27014,20451,0.757051899,2021-06-11
île du Prince-Édouard,114,0,0,2021-06-11
Québec,28069,6879,0.245074638,2021-06-11
Saskatchewan,7644,2938,0.384353741,2021-06-11
Canada,123473,61455,0.497720149,2021-06-11
